flow,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,feduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,avgPacketSize,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,label
192.168.140.130:50591<->64.233.161.94:443,5.070569,5.013052,0.000096,0.00000,4.223110,4.223110,0.15365360606060605,0.06426989743589744,0.7357317462025874,0.4804784627025735,5.070569,34,79,3169,90291,54,60,436,1514,93.20588235294117,1142.9240506329113,77.63113223199893,588.4557751317818,827.0796460176991,6.705361863727719709563167368,15.58010550689676050163206536,22.28546737062448021119523272,18431.85646423507894281687124,Win7_Yandex
192.168.140.130:56172<->192.168.140.2:53,0,0,1649879296.113755,0,1649879296.113755,1649879296.113755,0.0,0.0,0.0,0.0,0.046818,1,1,79,95,79,95,79,95,79.0,95.0,0.0,0.0,87.0,21.35930624973300867187833739,21.35930624973300867187833739,42.71861249946601734375667478,3716.519287453543508906830706,Win7_Yandex
192.168.140.130:50592<->188.114.98.128:443,4.952185,4.891960,0.000361,0.000000,2.100034,2.100034,0.17686375000000001,0.07765015873015874,0.5221246137337703,0.35631920377454085,4.952185,29,64,2589,69359,54,60,330,1514,89.27586206896552,1083.734375,70.02290265728581,612.7327349782195,773.6344086021505,5.856000936960149913623986180,12.92358827467067567144603847,18.77958921163082558507002465,14528.53639353134020639374337,Win7_Yandex
192.168.140.130:58867<->192.168.140.2:53,0,0,1649879296.395884,0,1649879296.395884,1649879296.395884,0.0,0.0,0.0,0.0,0.017847,1,1,79,95,79,95,79,95,79.0,95.0,0.0,0.0,87.0,56.03182607721185633439793803,56.03182607721185633439793803,112.0636521544237126687958761,9749.537737434863002185241217,Win7_Yandex
192.168.140.130:50593<->192.0.73.2:443,4.773850,4.743081,0.000152,0.000000,4.601313,4.601313,0.298365625,0.1581027,1.1475364924897087,0.8396023825696899,4.773850,17,31,1984,22683,54,60,392,1514,116.70588235294117,731.7096774193549,92.38084535354336,677.0938976512483,513.8958333333334,3.561067063271782733014233795,6.493710527142662630790661625,10.05477759041444536380489542,5167.108308807356745603653236,Win7_Yandex
192.168.140.130:50594<->192.0.73.2:443,0.123951,0.093090,0.000123,0.000000,0.041714,0.041714,0.015493875,0.009309000000000001,0.016782503069204462,0.014908568677106465,0.123951,9,11,798,6557,54,60,261,1514,88.66666666666667,596.0909090909091,71.4370352128362,686.0341761961214,367.75,72.60933756081032020717864317,88.74474590765705803099611943,161.3540834684673782381747626,59337.96419552887834708876895,Win7_Yandex
192.168.140.130:50595<->192.0.73.2:443,0.123920,0.093090,0.000051,0.00000,0.041506,0.041506,0.01376888888888889,0.009309000000000001,0.016412142032992252,0.0145489378535571,0.123920,10,11,852,6557,54,60,261,1514,85.2,596.0909090909091,68.2378194258873,686.0341761961214,352.8095238095238,80.69722401549386701097482247,88.76694641704325371207230471,169.4641704325371207230471272,59788.57327307940606843124597,Win7_Yandex
192.168.140.130:50596<->192.0.73.2:443,4.741610,4.711187,0.000105,0.000000,4.495784,4.495784,0.59270125,0.5234652222222222,1.5778563292009058,1.4902276662401936,4.741610,9,10,798,6840,54,60,261,1514,88.66666666666667,684.0,71.4370352128362,677.0312646645895,402.0,1.898089467501544833927716535,2.108988297223938704364129483,4.007077764725483538291846019,1610.845261419644382393322099,Win7_Yandex
192.168.140.130:50597<->93.158.134.119:443,3.035763,3.023325,0.000272,0.000000,2.240353,2.240353,0.27597845454545455,0.20155499999999998,0.6844056633072763,0.5925281881410489,3.035763,12,16,2861,6304,54,60,1831,1514,238.41666666666666,394.0,505.2902781090441,561.691374332916,327.32142857142856,3.952877744408901485392634405,5.270503659211868647190179207,9.223381403620770132582813612,3019.010377292298509468624527,Win7_Yandex
192.168.140.130:60563<->192.168.140.2:53,0,0,1649879298.163794,0,1649879298.163794,1649879298.163794,0.0,0.0,0.0,0.0,0.007668,1,1,72,120,72,120,72,120,72.0,120.0,0.0,0.0,96.0,130.4121022430881585811163276,130.4121022430881585811163276,260.8242044861763171622326552,25039.12363067292644757433490,Win7_Yandex
192.168.140.130:57146<->192.168.140.2:53,0,0,1649879298.164055,0,1649879298.164055,1649879298.164055,0.0,0.0,0.0,0.0,0.010732,1,1,82,146,82,146,82,146,82.0,146.0,0.0,0.0,114.0,93.17927692881103242638837123,93.17927692881103242638837123,186.3585538576220648527767425,21244.87513976891539321654864,Win7_Yandex
192.168.140.130:50598<->178.154.131.216:443,2.993382,2.978942,0.000117,0.000000,2.652696,2.652696,0.07483455,0.027582796296296296,0.41904685219129534,0.2556329602847399,2.993382,41,109,3166,139727,54,60,382,1514,77.21951219512195,1281.8990825688074,63.4848455125796,467.18504829564307,952.62,13.69688198833292910827953131,36.41366187142168958054802227,50.11054385975461868882755358,47736.30629167944485535090409,Win7_Yandex
192.168.140.130:50599<->178.154.131.216:443,2.992678,2.978939,0.000207,0.000000,2.419491,2.419491,0.2137627142857143,0.11915756,0.6424030864911038,0.48527350594922924,2.992678,15,26,1714,20069,54,60,427,1514,114.26666666666667,771.8846153846154,104.38901602499503,668.79308171799,531.2926829268292,5.012233190473549108858353622,8.687870863487485122021146278,13.70010405396103423087949990,7278.765039205688015884101129,Win7_Yandex
192.168.140.130:50600<->87.250.247.183:443,2.980988,2.968197,0.000086,0.000000,2.798215,2.798215,0.3726235,0.32979966666666666,0.9810807106943706,0.9265954703910709,2.980988,9,10,801,5863,54,60,264,1514,89.0,586.3,72.34293331072497,654.1404962918049,350.7368421052632,3.019133253807127033050787189,3.354592504230141147834207987,6.373725758037268180884995176,2235.500444818966060916716203,Win7_Yandex
